feature1,feature2,label
-1.711183,-2.295666,0
-3.473372,-1.487762,0
-0.863297,-1.392624,0
-0.834046,-1.523402,0
-3.303275,-2.044950,0
-1.475132,-1.278988,0
-2.493076,-2.063365,0
-1.634130,-0.728707,0
-0.994761,-1.353682,0
-1.603777,-3.025281,0
-3.100960,-2.091855,0
-0.958417,-1.604647,0
-1.438904,-3.501556,0
-3.461654,-0.880116,0
-2.034638,-3.313688,0
-1.117833,-1.741964,0
0.951464,-0.750000,0
-1.653303,-2.151110,0
-1.767704,-2.102652,0
-3.438797,-1.072478,0
-1.725142,-4.754707,0
-2.635523,-2.828742,0
-1.019110,-2.044055,0
-0.512593,-3.591520,0
-3.075786,-0.932905,0
-2.655221,-3.058632,0
-2.526671,-2.759824,0
-1.460672,-0.881832,0
-3.586919,-2.290776,0
-1.985756,-1.917806,0
-1.166744,-1.880153,0
-2.579803,-3.111894,0
-3.824709,-2.371112,0
-1.985590,-1.078275,0
-2.377769,0.323704,0
-2.076480,-2.483344,0
-1.619405,-2.970559,0
-1.791092,-4.064097,0
-1.323906,-1.933321,0
-1.789429,-1.845191,0
-3.273756,-2.898621,0
-0.433575,-1.505402,0
-2.597263,-1.578919,0
-1.592289,-0.045516,0
-0.889649,-1.588831,0
-2.449185,-0.216310,0
-2.101549,-2.870512,0
-3.220246,-2.862397,0
-2.364085,-1.234599,0
2.913185,3.151070,1
2.152977,2.831493,1
4.259316,2.910289,1
3.602883,0.489361,1
1.258201,1.248885,1
-0.677034,2.073678,1
3.392449,1.464683,1
2.195442,1.145946,1
1.508272,2.285310,1
0.804224,3.174033,1
0.081241,2.322234,1
1.508518,3.489145,1
2.761845,-0.084159,1
-0.422397,0.998644,1
1.497774,1.810993,1
2.030245,2.673596,1
0.634009,0.199453,1
2.252461,1.639019,1
1.896627,1.358170,1
1.826791,3.486507,1
0.376730,0.774470,1
2.641602,3.567408,1
1.794351,0.737284,1
-0.001120,2.260542,1
0.750646,4.175579,1
4.341604,2.226301,1
2.485462,1.882087,1
3.141796,1.996930,1
2.063357,3.360403,1
2.626183,4.130981,1
0.363170,1.444418,1
1.096094,2.841779,1
1.506410,2.602332,1
0.831012,1.905659,1
4.296995,3.638368,1
0.121468,2.364586,1
2.826353,1.506593,1
0.897620,2.661988,1
2.100825,2.552541,1
1.841949,4.331165,1
1.086159,1.504001,1
2.514885,2.731742,1
0.621286,3.297313,1
0.541882,2.006400,1
1.692973,1.292375,1
3.133250,-0.347053,1
1.269217,1.097236,1
2.874897,3.550421,1
2.775469,3.395285,1
-0.224554,2.163600,1
0.616967,1.625035,1
2.244672,2.094625,1
3.375754,0.021365,1
1.164264,0.519370,1
0.361209,3.005779,1
2.182419,3.556614,1
3.185206,2.068150,1
1.030384,2.991792,1
1.308397,0.800576,1
0.849590,2.121857,1
3.265530,2.052609,1
3.224429,2.091342,1
1.573551,4.721174,1
3.821045,2.196907,1
1.167805,0.390971,1
2.401358,1.744488,1
2.467001,2.323041,1
2.436276,3.142228,1
2.314220,1.276556,1
1.229451,2.583127,1
0.928173,2.718342,1
2.714193,1.956117,1
1.218577,0.223661,1
0.876035,0.374070,1
2.026671,1.557712,1
1.079338,2.872605,1
2.129328,2.047587,1
2.558117,3.036452,1
0.397176,2.706680,1
0.191063,1.205616,1
3.012146,2.691222,1
2.664741,2.182085,1
3.412977,0.459199,1
1.694845,2.047349,1
4.035285,3.026550,1
3.038428,1.238654,1
4.249662,2.471808,1
0.994076,4.345359,1
0.573092,1.131300,1
1.765999,1.019580,1
2.527211,2.276763,1
2.113508,3.893807,1
0.366031,3.366386,1
1.175348,3.462164,1
3.905214,4.301553,1
1.809486,0.836741,1
2.327926,1.946631,1
0.237151,2.735545,1
1.077322,3.442009,1
2.965164,1.718663,1
2.036164,1.757433,1
1.542607,5.098311,1
1.063803,2.055338,1
2.991472,1.615661,1
1.371457,0.670899,1
3.192035,2.712003,1
2.469934,0.491204,1
2.503583,2.285304,1
1.661936,0.623259,1
1.943317,1.129158,1
2.080035,2.063340,1
1.661842,2.882023,1
1.933949,2.529087,1
2.418402,3.008173,1
1.035940,1.654695,1
2.921995,2.153533,1
3.125805,2.745243,1
1.555320,2.880511,1
1.742514,2.956604,1
3.853764,3.091595,1
4.289501,0.448418,1
1.451625,1.733655,1
1.599709,2.372448,1
1.631891,3.106107,1
2.984760,2.413473,1
0.987787,2.547374,1
2.674290,2.353885,1
2.030007,3.400335,1
1.451619,1.633303,1
2.667056,2.530791,1
2.852598,1.715989,1
0.685294,0.762418,1
1.567327,2.792425,1
2.792264,0.184089,1
2.533896,1.912773,1
0.957894,4.190775,1
2.263958,2.827415,1
4.567525,1.418881,1
1.603210,3.489016,1
0.692329,2.073966,1
2.046215,2.970181,1
2.405391,1.086820,1
2.972246,2.845149,1
0.948996,1.312197,1
1.474193,0.850660,1
3.064667,1.676157,1
1.722170,0.962244,1
1.605461,3.484952,1
2.748288,0.382603,1
1.010293,2.635601,1
1.501878,1.446760,1
1.139508,0.668931,1
2.095289,1.619728,1
3.140378,1.933292,1
1.034829,2.693806,1
3.346147,1.264263,1
0.297424,1.521034,1
0.650090,3.641618,1
0.612255,1.672305,1
3.473522,2.871213,1
1.486339,1.216936,1
1.818503,1.759845,1
3.496399,1.845335,1
0.650030,2.985773,1
3.036533,1.773204,1
2.772125,2.051247,1
0.793202,1.918925,1
0.855322,1.365845,1
1.061102,2.332845,1
2.186484,0.680321,1
1.080145,1.997308,1
2.464368,2.072241,1
-0.206795,3.286905,1
3.772312,3.583793,1
2.544104,2.671986,1
1.345808,2.188579,1
0.869371,2.121760,1
0.570307,2.585202,1
1.645444,2.767069,1
2.182574,1.540441,1
2.843326,0.826595,1
1.735148,1.462456,1
2.743972,1.924485,1
2.270019,2.525471,1
-0.346115,1.073682,1
2.115930,3.012476,1
2.572588,3.310766,1
1.778376,2.100680,1
1.500201,1.564328,1
1.169563,1.456719,1
1.809532,1.348446,1
2.026575,0.181366,1
2.427934,2.177457,1
2.446229,1.536503,1
1.491780,2.982361,1
1.845496,3.986549,1
0.593882,1.752635,1
0.872626,1.213255,1
1.210008,1.519268,1
2.782842,0.856106,1
2.610012,0.559112,1
1.594474,3.319809,1
2.462043,2.272280,1
2.630106,2.575975,1
2.628006,3.403663,1
0.961546,1.929261,1
2.637269,2.749642,1
2.558058,3.306537,1
1.499005,0.650280,1
3.272387,1.999197,1
1.451314,2.035760,1
1.567724,3.006208,1
2.890167,2.311733,1
2.540870,2.032608,1
3.026509,-0.363320,1
0.831805,1.960069,1
1.586523,1.049484,1
2.619969,1.021616,1
2.217361,2.124290,1
2.057697,1.170815,1
1.806834,3.226937,1
2.543523,2.962839,1
1.919918,0.297717,1
1.533532,1.849322,1
3.301508,3.135954,1
2.424845,1.143472,1
2.128447,1.738269,1
1.756492,0.766478,1
2.463905,1.970157,1
2.804382,0.538374,1
0.873018,5.646272,1
1.119950,2.287583,1
2.437755,1.017814,1
3.727607,1.934380,1
2.149480,3.818386,1
1.208979,1.512359,1
1.654487,0.627354,1
2.275839,2.473054,1
2.183320,2.655830,1
2.865654,2.338703,1
1.758559,3.220417,1
1.303336,3.396358,1
1.807044,2.764803,1
3.826552,-0.264798,1
1.807740,1.596052,1
3.707387,1.593178,1
4.729020,0.472097,1
2.349506,1.613698,1
2.505090,1.434856,1
1.548968,0.177172,1
